Transaction Amount ($) ,Fraud Detected ,Fraud Type       ,Device Risk Score ,Login Frequency (Per Day) ,Multiple Login Attempts ,Unusual IP Address ,Previous Fraud History ,Compromised Credentials Used ,Malicious Link Clicked ,Blacklisted Entity Involved ,Transaction Location Risk ,Dark Web Involvement ,Transaction Time ,Unusual Location Detected ,Account Age (Days) ,Account Type ,Social Engineering Involvement ,Previous Suspicious Activity ,Data Breach Exposure
                  5061 ,No             ,Ransomware       ,               38 ,                       17 ,No                      ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.69 ,No                   ,Night            ,Yes                       ,              1975 ,Premium      ,No                             ,No                           ,No
                  6430 ,No             ,Identity Theft   ,               64 ,                       38 ,Yes                     ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.01 ,No                   ,Day              ,No                        ,               817 ,Business     ,No                             ,No                           ,No
                  1194 ,No             ,E-commerce Fraud ,               44 ,                       25 ,Yes                     ,No                 ,Yes                    ,Yes                          ,No                     ,No                          ,                     0.11 ,No                   ,Day              ,No                        ,              2557 ,Premium      ,No                             ,No                           ,No
                  4565 ,No             ,Identity Theft   ,               70 ,                       32 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.96 ,No                   ,Day              ,No                        ,              2194 ,Premium      ,No                             ,Yes                          ,No
                  3395 ,No             ,Identity Theft   ,               65 ,                       15 ,No                      ,No                 ,No                     ,Yes                          ,No                     ,Yes                         ,                     0.93 ,No                   ,Day              ,Yes                       ,              2897 ,Regular      ,No                             ,No                           ,No
                  6406 ,No             ,Identity Theft   ,               25 ,                       13 ,No                      ,Yes                ,No                     ,No                           ,No                     ,No                          ,                     0.42 ,Yes                  ,Night            ,No                        ,              3167 ,Premium      ,No                             ,No                           ,No
                  8676 ,Yes            ,Honeypot Attack  ,               16 ,                       26 ,No                      ,No                 ,Yes                    ,No                           ,Yes                    ,No                          ,                     0.59 ,No                   ,Day              ,No                        ,              3064 ,Business     ,No                             ,No                           ,No
                  9284 ,Yes            ,Identity Theft   ,               15 ,                       11 ,Yes                     ,No                 ,Yes                    ,No                           ,No                     ,No                          ,                     0.16 ,No                   ,Night            ,Yes                       ,               993 ,Regular      ,No                             ,Yes                          ,Yes
                  2568 ,No             ,Identity Theft   ,               98 ,                       13 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.33 ,No                   ,Night            ,Yes                       ,              2457 ,Premium      ,No                             ,No                           ,No
                  7859 ,Yes            ,Honeypot Attack  ,               81 ,                       33 ,Yes                     ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.79 ,No                   ,Night            ,No                        ,              3468 ,Premium      ,No                             ,No                           ,Yes
                  2057 ,No             ,Ransomware       ,                3 ,                       37 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.86 ,No                   ,Day              ,No                        ,              2999 ,Regular      ,No                             ,No                           ,No
                  2757 ,No             ,Phishing         ,               67 ,                       38 ,Yes                     ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.41 ,No                   ,Day              ,No                        ,              2863 ,Business     ,No                             ,No                           ,No
                  9177 ,Yes            ,Honeypot Attack  ,               37 ,                        1 ,No                      ,Yes                ,Yes                    ,Yes                          ,No                     ,No                          ,                     0.31 ,No                   ,Day              ,No                        ,              3029 ,Regular      ,No                             ,No                           ,Yes
                   199 ,Yes            ,Honeypot Attack  ,               81 ,                       39 ,Yes                     ,Yes                ,No                     ,No                           ,No                     ,No                          ,                     0.68 ,No                   ,Night            ,No                        ,              3025 ,Regular      ,No                             ,No                           ,Yes
                  2744 ,No             ,Identity Theft   ,               55 ,                       27 ,Yes                     ,No                 ,No                     ,Yes                          ,Yes                    ,Yes                         ,                     0.72 ,No                   ,Night            ,No                        ,              2653 ,Premium      ,No                             ,Yes                          ,No
                  3015 ,No             ,Identity Theft   ,               38 ,                       36 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.98 ,No                   ,Day              ,No                        ,              2115 ,Business     ,No                             ,Yes                          ,No
                  4668 ,No             ,Phishing         ,               63 ,                       32 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,Yes                         ,                     0.7  ,No                   ,Day              ,No                        ,               711 ,Business     ,No                             ,No                           ,Yes
                  1909 ,No             ,Identity Theft   ,                1 ,                       41 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.24 ,No                   ,Night            ,No                        ,               960 ,Regular      ,No                             ,No                           ,No
                  7744 ,No             ,E-commerce Fraud ,               71 ,                       15 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.06 ,No                   ,Night            ,No                        ,              1596 ,Regular      ,No                             ,No                           ,No
                  1277 ,No             ,Identity Theft   ,               90 ,                       31 ,Yes                     ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.26 ,No                   ,Night            ,Yes                       ,              1889 ,Premium      ,No                             ,Yes                          ,No
                  1538 ,No             ,Identity Theft   ,               19 ,                        6 ,Yes                     ,No                 ,Yes                    ,No                           ,No                     ,No                          ,                     0.23 ,No                   ,Night            ,No                        ,              3290 ,Premium      ,No                             ,Yes                          ,No
                  3566 ,No             ,E-commerce Fraud ,               52 ,                       25 ,Yes                     ,Yes                ,No                     ,No                           ,Yes                    ,No                          ,                     0.09 ,No                   ,Night            ,No                        ,              3284 ,Regular      ,No                             ,No                           ,No
                  3900 ,No             ,Phishing         ,               30 ,                       49 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.44 ,No                   ,Night            ,No                        ,               939 ,Regular      ,No                             ,No                           ,No
                  8848 ,Yes            ,E-commerce Fraud ,               55 ,                       18 ,No                      ,No                 ,Yes                    ,No                           ,No                     ,No                          ,                     0.29 ,No                   ,Night            ,Yes                       ,              2469 ,Business     ,No                             ,No                           ,No
                  5403 ,No             ,Honeypot Attack  ,               14 ,                       22 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.93 ,No                   ,Day              ,No                        ,              1184 ,Regular      ,Yes                            ,Yes                          ,Yes
                  8802 ,No             ,E-commerce Fraud ,               13 ,                       31 ,No                      ,No                 ,No                     ,No                           ,No                     ,Yes                         ,                     0.4  ,No                   ,Night            ,No                        ,              3555 ,Premium      ,No                             ,No                           ,No
                  8443 ,Yes            ,Ransomware       ,               84 ,                       36 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.88 ,No                   ,Day              ,Yes                       ,               341 ,Regular      ,Yes                            ,No                           ,No
                  7523 ,Yes            ,Honeypot Attack  ,               90 ,                        9 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,Yes                         ,                     0.31 ,No                   ,Day              ,No                        ,              2228 ,Business     ,Yes                            ,No                           ,Yes
                  2622 ,No             ,Identity Theft   ,               27 ,                       46 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.83 ,No                   ,Night            ,No                        ,              3637 ,Business     ,No                             ,No                           ,No
                  7051 ,No             ,Honeypot Attack  ,               89 ,                        3 ,No                      ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.45 ,No                   ,Night            ,No                        ,              1278 ,Business     ,No                             ,No                           ,No
                  9565 ,No             ,Phishing         ,                9 ,                       33 ,No                      ,No                 ,No                     ,No                           ,No                     ,Yes                         ,                     0.03 ,No                   ,Night            ,No                        ,              1020 ,Business     ,Yes                            ,No                           ,Yes
                  6245 ,Yes            ,Phishing         ,               41 ,                       27 ,No                      ,Yes                ,No                     ,No                           ,No                     ,Yes                         ,                     0.49 ,No                   ,Night            ,No                        ,              3256 ,Business     ,No                             ,No                           ,Yes
                  5496 ,Yes            ,E-commerce Fraud ,               48 ,                       43 ,Yes                     ,No                 ,Yes                    ,No                           ,Yes                    ,No                          ,                     0.23 ,No                   ,Day              ,Yes                       ,               840 ,Premium      ,Yes                            ,No                           ,Yes
                  7109 ,No             ,Honeypot Attack  ,               12 ,                        1 ,No                      ,No                 ,No                     ,No                           ,No                     ,Yes                         ,                     0.31 ,No                   ,Day              ,No                        ,              2434 ,Business     ,No                             ,No                           ,No
                  9680 ,No             ,Identity Theft   ,               10 ,                       44 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.68 ,No                   ,Night            ,No                        ,              2291 ,Premium      ,No                             ,Yes                          ,No
                   785 ,No             ,Phishing         ,                6 ,                        9 ,Yes                     ,No                 ,Yes                    ,Yes                          ,No                     ,No                          ,                     0.53 ,No                   ,Day              ,No                        ,              1552 ,Premium      ,Yes                            ,No                           ,No
                  8236 ,No             ,Identity Theft   ,               34 ,                        5 ,No                      ,No                 ,No                     ,No                           ,Yes                    ,Yes                         ,                     0.89 ,No                   ,Day              ,Yes                       ,              1956 ,Business     ,No                             ,No                           ,No
                  3162 ,No             ,Ransomware       ,               52 ,                       15 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.94 ,No                   ,Day              ,Yes                       ,               138 ,Business     ,No                             ,No                           ,No
                  1595 ,No             ,Phishing         ,               41 ,                        9 ,No                      ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.69 ,No                   ,Day              ,No                        ,              3420 ,Premium      ,No                             ,No                           ,No
                  3953 ,No             ,E-commerce Fraud ,               83 ,                       45 ,Yes                     ,No                 ,Yes                    ,No                           ,No                     ,No                          ,                     0.86 ,No                   ,Night            ,Yes                       ,              2641 ,Premium      ,No                             ,No                           ,No
                  7565 ,No             ,Ransomware       ,                6 ,                       28 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.2  ,Yes                  ,Night            ,No                        ,               126 ,Business     ,Yes                            ,No                           ,Yes
                  3083 ,No             ,Honeypot Attack  ,                2 ,                       13 ,No                      ,No                 ,Yes                    ,No                           ,No                     ,No                          ,                     0.08 ,No                   ,Night            ,Yes                       ,              3417 ,Premium      ,No                             ,Yes                          ,No
                  1031 ,No             ,Identity Theft   ,               15 ,                       24 ,Yes                     ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.33 ,No                   ,Day              ,No                        ,              3279 ,Regular      ,Yes                            ,Yes                          ,Yes
                  3853 ,No             ,Phishing         ,               17 ,                       45 ,No                      ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.33 ,No                   ,Night            ,No                        ,              3474 ,Regular      ,No                             ,No                           ,No
                  7999 ,No             ,Ransomware       ,               16 ,                       10 ,No                      ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.67 ,No                   ,Night            ,No                        ,               258 ,Premium      ,No                             ,No                           ,No
                  9702 ,Yes            ,Ransomware       ,               28 ,                       42 ,Yes                     ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.84 ,No                   ,Day              ,No                        ,              1152 ,Premium      ,No                             ,Yes                          ,Yes
                  6883 ,No             ,Phishing         ,               85 ,                       22 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.3  ,No                   ,Day              ,No                        ,              3368 ,Premium      ,No                             ,No                           ,No
                  5685 ,Yes            ,Honeypot Attack  ,               72 ,                       39 ,No                      ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.42 ,No                   ,Night            ,No                        ,               554 ,Regular      ,No                             ,No                           ,Yes
                   171 ,No             ,Honeypot Attack  ,               10 ,                       22 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.1  ,No                   ,Day              ,No                        ,              1247 ,Premium      ,No                             ,No                           ,No
                  4307 ,No             ,E-commerce Fraud ,               10 ,                       37 ,No                      ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.41 ,No                   ,Night            ,No                        ,               607 ,Business     ,No                             ,No                           ,Yes
                  1005 ,No             ,Honeypot Attack  ,               10 ,                       39 ,No                      ,No                 ,No                     ,No                           ,No                     ,Yes                         ,                     0.21 ,Yes                  ,Day              ,No                        ,              2713 ,Regular      ,No                             ,Yes                          ,No
                  7639 ,Yes            ,E-commerce Fraud ,               73 ,                       20 ,No                      ,No                 ,No                     ,No                           ,No                     ,Yes                         ,                     0.38 ,No                   ,Day              ,No                        ,              1665 ,Premium      ,No                             ,No                           ,Yes
                  9477 ,No             ,Ransomware       ,               28 ,                       10 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.27 ,No                   ,Day              ,No                        ,              1746 ,Regular      ,Yes                            ,No                           ,No
                  1026 ,No             ,Phishing         ,               24 ,                       10 ,No                      ,Yes                ,No                     ,Yes                          ,Yes                    ,No                          ,                     0.81 ,No                   ,Day              ,No                        ,              3600 ,Regular      ,No                             ,No                           ,No
                  7879 ,No             ,Honeypot Attack  ,               19 ,                       26 ,No                      ,Yes                ,No                     ,Yes                          ,No                     ,No                          ,                     0.0  ,No                   ,Night            ,Yes                       ,              2218 ,Regular      ,Yes                            ,No                           ,No
                  6449 ,No             ,E-commerce Fraud ,               97 ,                       25 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.34 ,No                   ,Day              ,No                        ,              2725 ,Business     ,No                             ,No                           ,Yes
                  7902 ,No             ,Ransomware       ,               68 ,                       28 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.97 ,No                   ,Night            ,No                        ,              2409 ,Business     ,No                             ,No                           ,No
                  6873 ,No             ,Honeypot Attack  ,               56 ,                       13 ,No                      ,Yes                ,No                     ,No                           ,No                     ,Yes                         ,                     0.68 ,No                   ,Day              ,No                        ,              1002 ,Business     ,No                             ,Yes                          ,No
                  7926 ,Yes            ,Identity Theft   ,               67 ,                       15 ,No                      ,No                 ,Yes                    ,Yes                          ,No                     ,No                          ,                     0.77 ,No                   ,Day              ,No                        ,               549 ,Regular      ,No                             ,No                           ,Yes
                  8539 ,Yes            ,Ransomware       ,               42 ,                        6 ,No                      ,Yes                ,Yes                    ,No                           ,No                     ,Yes                         ,                     0.86 ,No                   ,Night            ,No                        ,               711 ,Premium      ,No                             ,No                           ,No
                   888 ,No             ,Honeypot Attack  ,               12 ,                       12 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.36 ,No                   ,Night            ,No                        ,              2182 ,Regular      ,Yes                            ,Yes                          ,No
                  9278 ,No             ,Ransomware       ,               18 ,                       19 ,No                      ,Yes                ,No                     ,No                           ,No                     ,No                          ,                     0.07 ,No                   ,Night            ,No                        ,              1486 ,Premium      ,No                             ,No                           ,No
                  4897 ,Yes            ,Phishing         ,               23 ,                       32 ,Yes                     ,No                 ,No                     ,Yes                          ,Yes                    ,Yes                         ,                     0.41 ,Yes                  ,Day              ,Yes                       ,              3478 ,Premium      ,No                             ,Yes                          ,Yes
                  4869 ,Yes            ,Phishing         ,               84 ,                       11 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.65 ,No                   ,Day              ,No                        ,               370 ,Business     ,No                             ,No                           ,No
                  6341 ,Yes            ,Phishing         ,                6 ,                       38 ,No                      ,No                 ,Yes                    ,No                           ,Yes                    ,No                          ,                     0.37 ,No                   ,Day              ,Yes                       ,               863 ,Premium      ,No                             ,No                           ,No
                  8581 ,No             ,Identity Theft   ,               53 ,                       33 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.45 ,No                   ,Night            ,Yes                       ,               174 ,Premium      ,No                             ,No                           ,No
                  8694 ,No             ,Phishing         ,               98 ,                        2 ,No                      ,No                 ,No                     ,No                           ,Yes                    ,Yes                         ,                     0.83 ,No                   ,Day              ,Yes                       ,              1320 ,Business     ,No                             ,No                           ,No
                  7218 ,No             ,Identity Theft   ,               42 ,                       15 ,Yes                     ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.04 ,No                   ,Night            ,Yes                       ,              1334 ,Premium      ,No                             ,Yes                          ,No
                  5286 ,No             ,Phishing         ,               66 ,                       36 ,Yes                     ,Yes                ,No                     ,No                           ,No                     ,Yes                         ,                     0.33 ,No                   ,Night            ,No                        ,              1070 ,Business     ,No                             ,No                           ,No
                  2072 ,No             ,Ransomware       ,               30 ,                        5 ,No                      ,No                 ,Yes                    ,No                           ,No                     ,Yes                         ,                     0.49 ,No                   ,Night            ,No                        ,               420 ,Regular      ,No                             ,No                           ,Yes
                    74 ,Yes            ,Honeypot Attack  ,                9 ,                       15 ,No                      ,No                 ,No                     ,Yes                          ,Yes                    ,No                          ,                     0.3  ,No                   ,Day              ,No                        ,               297 ,Premium      ,No                             ,No                           ,No
                  8016 ,Yes            ,Honeypot Attack  ,               91 ,                       43 ,No                      ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.45 ,Yes                  ,Night            ,No                        ,              1766 ,Business     ,No                             ,No                           ,No
                  2578 ,Yes            ,Phishing         ,               42 ,                       10 ,Yes                     ,Yes                ,No                     ,No                           ,No                     ,No                          ,                     0.4  ,No                   ,Day              ,Yes                       ,              2914 ,Regular      ,No                             ,No                           ,No
                  5473 ,No             ,Honeypot Attack  ,               34 ,                       17 ,Yes                     ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.92 ,No                   ,Day              ,No                        ,              2883 ,Regular      ,No                             ,No                           ,No
                  2037 ,No             ,Phishing         ,               40 ,                       34 ,No                      ,No                 ,No                     ,Yes                          ,No                     ,Yes                         ,                     0.49 ,No                   ,Day              ,No                        ,              1918 ,Business     ,No                             ,No                           ,No
                  2705 ,Yes            ,Phishing         ,               88 ,                       24 ,Yes                     ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.48 ,No                   ,Day              ,No                        ,               791 ,Premium      ,No                             ,No                           ,No
                  9697 ,No             ,E-commerce Fraud ,               17 ,                       10 ,No                      ,Yes                ,No                     ,Yes                          ,Yes                    ,No                          ,                     0.25 ,No                   ,Day              ,Yes                       ,              3243 ,Premium      ,No                             ,Yes                          ,No
                  5268 ,No             ,E-commerce Fraud ,               29 ,                       30 ,No                      ,No                 ,No                     ,No                           ,No                     ,Yes                         ,                     0.05 ,No                   ,Day              ,Yes                       ,               317 ,Premium      ,No                             ,No                           ,Yes
                  5628 ,No             ,E-commerce Fraud ,               50 ,                        3 ,No                      ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.3  ,No                   ,Day              ,No                        ,              3345 ,Premium      ,No                             ,No                           ,No
                  6746 ,Yes            ,Identity Theft   ,               76 ,                       37 ,Yes                     ,Yes                ,No                     ,No                           ,No                     ,No                          ,                     0.03 ,No                   ,Day              ,No                        ,              2781 ,Business     ,No                             ,No                           ,No
                   401 ,No             ,E-commerce Fraud ,               95 ,                        3 ,Yes                     ,No                 ,No                     ,No                           ,No                     ,No                          ,                     0.83 ,No                   ,Night            ,No                        ,              1539 ,Regular      ,No                             ,No                           ,No
                  5902 ,No             ,Phishing         ,               49 ,                       40 ,Yes                     ,Yes                ,No                     ,No                           ,No                     ,Yes                         ,                     0.2  ,No                   ,Night            ,Yes                       ,              3150 ,Premium      ,No                             ,No                           ,No
                  3571 ,Yes            ,Ransomware       ,               73 ,                        5 ,Yes                     ,Yes                ,Yes                    ,No                           ,No                     ,No                          ,                     0.91 ,No                   ,Day              ,Yes                       ,              3275 ,Business     ,No                             ,No                           ,No
                  6194 ,No             ,E-commerce Fraud ,               61 ,                       28 ,No                      ,No                 ,No                     ,No                           ,Yes                    ,No                          ,                     0.89 ,No                   ,Day              ,Yes                       ,              2078 ,Business     ,Yes                            ,No                           ,No
                  3109 ,Yes            ,E-commerce Fraud ,               83 ,                       44 ,No                      ,No                 ,No                     ,Yes                          ,No                     ,No                          ,                     0.66 ,No                   ,Night            ,No                        ,              3093 ,Premium      ,No                             ,Yes                          ,Yes
